Study_ID,Location_ID,Study_Specific_Location_ID,Field_Collection_Type,Field_Collector,Field_Collection_Start_Date,Field_Collection_Start_Time,Field_Collection_End_Date,Field_Collection_End_Time,Field_Collection_Comment,Field_Collection_Area,Field_Collection_Area_Units,Field_Collection_Reference_Point,Field_Collection_Upper_Depth,Field_Collection_Lower_Depth,Field_Collection_Depth_Units,Well_Water_Level_Measuring_Point_or_TOC_ID,Sample_ID,Sample_Field_Replicate_ID,Sample_Replicate_Flag,Sample_Sub_ID,Sample_Composite_Flag,Storm_Event_Qualifier,Sample_Matrix,Sample_Source,Sample_Use,Sample_Collection_Method,Sample_Preparation_Method,Sample_Method_Other,Sample_Taxon_Name,Sample_Taxon_TSN,Sample_Tissue_Type,Sample_Percent_Sorted,Result_Parameter_Name,Result_Parameter_CAS_Number,Lab_Analysis_Date,Lab_Analysis_Date_Accuracy,Lab_Analysis_Time,Result_Value,Result_Value_Units,Result_Reporting_Limit,Result_Reporting_Limit_Type,Result_Detection_Limit,Result_Detection_Limit_Type,Result_Data_Qualifier,Fraction_Analyzed,Field_Filtered_Flag,Result_Basis,Digestion_Method,Water_Level_Accuracy,Result_Method,Result_Comment,Result_Additional_Comment,Result_Lab_Replicate_ID,Result_Lab_Name,Result_Validation_Level,Result_Taxon_Name,Result_Taxon_TSN,Result_Taxon_Unidentified_Species,Result_Taxon_Life_Stage,QC_Blank_Type,QC_Blank_Censor_Factor,Lab_Batch_ID,Lab_GC_Column_ID
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,17,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Nais,68946,,unknown,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,29,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Lumbriculidae,68440,,unknown,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,4,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Acari,733321,,Larva,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,2,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Atractides,83282,,Adult,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,1,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Hygrobates,83297,,Adult,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,3,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Lebertia,83034,,Adult,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,12,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Sperchon,83006,,Adult,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,21,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Torrenticola,83254,,Adult,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,1,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Heterlimnius corpulentus,114169,,Adult,,,,
Ambient Monitoring,07RAG004615,07RAG004615,Sample,GovLocal,8/13/2024,,,,,8,ft2,,,,,,07RAG004615_24,,N,,Y,,Solid/Sediment,Freshwater Taxonomy,,SURBER,,,,,,16.67,Number of Individual Organisms,,4/14/2025,,,9,Count,,,,,,,,,,,ID-COUNT-LEVEL2,,07RAG004615_24,,"Rhithron Associates Inc, Missoula MT",,Heterlimnius corpulentus,114169,,Larva,,,,
